"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2016S010148    ",9,"Sant Andreu",59,"el Bon Pastor",701065,"Cordelles","0014 0016","Diumenge","2016",1,"Gener","24","18","Desobeir semàfor","Tarda","432996.94 ","4588404.96","2.19679567697846","41.4425807621441"
"2016S001125    ",9,"Sant Andreu",57,"la Trinitat Vella",131100,"Foradada","0009 0009","Divendres","2016",2,"Febrer","12","10","Desconegut","Matí","432412.45 ","4589089.9 ","2.18972282864374","41.4487007375016"
"2016S002638    ",9,"Sant Andreu",57,"la Trinitat Vella",239606,"Pare Pérez del Pulgar","0000 0000","Dijous","2016",4,"Abril","7","15","Manca d'atenció a la conducció","Tarda","433113.99 ","4588880.73","2.19814399490331","41.4468756329925"
"2016S004112    ",9,"Sant Andreu",57,"la Trinitat Vella",28407,"Ausona","0007 0007","Dissabte","2016",5,"Maig","28","02","Altres","Nit","432733.6  ","4589151.61","2.19356036120558","41.4492835399800"
"2016S007782    ",9,"Sant Andreu",60,"Sant Andreu",254600,"Peronella","0037 0037","Dijous","2016",10,"Octubre","13","11","Canvi de carril sense precaució","Matí","431596.3  ","4585986.4 ","2.18030449617350","41.4206794238261"
"2016S002168    ",9,"Sant Andreu",60,"Sant Andreu",296202,"Gran de Sant Andreu","0148 0148","Divendres","2016",3,"Març","18","14","No respectar distàncies","Tarda","432174.03 ","4585878.73","2.18722946824335","41.4197586967965"
"2016S001697    ",9,"Sant Andreu",60,"Sant Andreu",120807,"Favència","0558 0558","Dijous","2016",3,"Març","3","10","Manca precaució efectuar marxa enrera","Matí","432378.79 ","4585656.68","2.18970436018597","41.4177760358948"
"2016S009762    ",9,"Sant Andreu",63,"Navas",209900,"Meridiana","0244 0244","Dilluns","2016",12,"Desembre","19","10","Manca d'atenció a la conducció","Matí","432850.44 ","4587068.64","2.19519075199078","41.4305327142339"
"2016S000418    ",9,"Sant Andreu",63,"Navas",194508,"Maragall","0022 0023","Dilluns","2016",1,"Gener","18","13","Desobeir semàfor","Matí","432495.11 ","4586526.45","2.19099896192253","41.4256195712814"
"2016S005615    ",9,"Sant Andreu",59,"el Bon Pastor",195103,"Mare Eterna","0035 0035","Dissabte","2016",7,"Juliol","16","11","Desconegut","Matí","433621.17 ","4587681.58","2.20434705058144","41.4361174052909"
"2016S009002    ",9,"Sant Andreu",59,"el Bon Pastor",128208,"Foc Follet","0037 0037","Dimecres","2016",11,"Novembre","23","15","Desobeir altres senyals","Tarda","433242.65 ","4588428.8 ","2.19973410592259","41.4428159686526"
"2016S004600    ",9,"Sant Andreu",59,"el Bon Pastor",128208,"Foc Follet","0040 0040","Dilluns","2016",6,"Juny","13","12","Avançament defectuós/improcedent","Matí","433283.36 ","4588420.84","2.20022227270112","41.4427476627108"
"2016S001920    ",9,"Sant Andreu",59,"el Bon Pastor",331700,"Tàrrega","0059 0059","Dijous","2016",3,"Març","10","09","Manca d'atenció a la conducció","Matí","433767.83 ","4588493.8 ","2.20601323112127","41.4434449412764"
"2016S005747    ",9,"Sant Andreu",59,"el Bon Pastor",331700,"Tàrrega","0060 0060","Dijous","2016",7,"Juliol","21","16","Canvi de carril sense precaució","Tarda","433698.18 ","4588639.96","2.20516347432967","41.4447556036367"
"2016S000556    ",9,"Sant Andreu",59,"el Bon Pastor",128208,"Foc Follet","0058 0058","Divendres","2016",1,"Gener","22","21","Canvi de carril sense precaució","Tarda","433698.18 ","4588639.96","2.20516347432967","41.4447556036367"
"2016S003575    ",9,"Sant Andreu",59,"el Bon Pastor",195103,"Mare Eterna","0003 0003","Dilluns","2016",5,"Maig","9","20","Altres","Tarda","433341.2  ","4587645.71","2.20100019439656","41.4357711226858"
"2016S000612    ",9,"Sant Andreu",59,"el Bon Pastor",18902,"Arbeca","0029B0029B","Dissabte","2016",1,"Gener","23","22","Manca precaució incorporació circulació","Nit","433844.51 ","4588303.65","2.20695192135092","41.4417386475754"
"2016S007934    ",9,"Sant Andreu",60,"Sant Andreu",296257,"Sant Andreu","0045U0045U","Dimecres","2016",10,"Octubre","19","00","Gir indegut o sense precaució","Nit","432497.93 ","4588360.48","2.19082767952978","41.4421383070924"
"2016S003612    ",9,"Sant Andreu",60,"Sant Andreu",296202,"Gran de Sant Andreu","0147U0147U","Dimecres","2016",5,"Maig","11","05","Manca d'atenció a la conducció","Nit","432708.2  ","4588934.51","2.19328051280623","41.4473260652387"
"2016S002707    ",9,"Sant Andreu",60,"Sant Andreu",296202,"Gran de Sant Andreu","0147U0147U","Dissabte","2016",4,"Abril","9","21","No respectar distàncies","Tarda","432720.11 ","4588904.3 ","2.19342645004577","41.4470549735169"
"2016S001718    ",9,"Sant Andreu",60,"Sant Andreu",306,"Abat Odó","0064 0064","Dijous","2016",3,"Març","3","20","Manca d'atenció a la conducció","Tarda","432474.98 ","4588497.55","2.19053764293451","41.4433709173449"
"2016S002892    ",9,"Sant Andreu",60,"Sant Andreu",296202,"Gran de Sant Andreu","0199 0199","Dissabte","2016",4,"Abril","16","15","Manca d'atenció a la conducció","Tarda","432500.06 ","4588656.38","2.19082008076714","41.4448035547769"
"2016S008702    ",9,"Sant Andreu",60,"Sant Andreu",86108,"Concepción Arenal","0203 0203","Dissabte","2016",11,"Novembre","12","18","No respectar distàncies","Tarda","432090.56 ","4588143.87","2.18597601498317","41.4401529926709"
"2016S007979    ",9,"Sant Andreu",60,"Sant Andreu",235605,"Ignasi Iglésias","0042 0042","Dijous","2016",10,"Octubre","20","12","Manca precaució efectuar marxa enrera","Matí","432665.52 ","4588469.79","2.19282146346451","41.4431369107176"
"2016S002330    ",9,"Sant Andreu",60,"Sant Andreu",262200,"Pons i Gallarza","0053 0053","Divendres","2016",3,"Març","25","09","Desobeir semàfor","Matí","432164.83 ","4588560.7 ","2.18681811918095","41.4439135167145"
"2016S004613    ",9,"Sant Andreu",60,"Sant Andreu",262200,"Pons i Gallarza","0053 0053","Dilluns","2016",6,"Juny","13","23","Desobeir semàfor","Nit","432164.83 ","4588560.7 ","2.18681811918095","41.4439135167145"
"2016S001670    ",9,"Sant Andreu",60,"Sant Andreu",352700,"Vallès","0021 0021","Dimecres","2016",3,"Març","2","12","No respectat pas de vianants","Matí","432284.1  ","4588345.48","2.18826991303398","41.4419851843097"
"2016S004089    ",9,"Sant Andreu",60,"Sant Andreu",91403,"Coroleu","0051B0051B","Divendres","2016",5,"Maig","27","23","Desobeir semàfor","Nit","432208.64 ","4588291.03","2.18737280855255","41.4414883985154"
"2016S006439    ",9,"Sant Andreu",57,"la Trinitat Vella",701502,"B-20 (Besòs)","0001S0000","Dilluns","2016",8,"Agost","22","20","Manca d'atenció a la conducció","Tarda","431953.19 ","4586967.54","2.18446437913277","41.4295465574439"
"2016S009626    ",9,"Sant Andreu",57,"la Trinitat Vella",701688,"Palafrugell","0000 0000","Dijous","2016",12,"Desembre","15","13","No respectar distàncies","Matí","431953.82 ","4587093.71","2.18445770293726","41.4306829810425"
"2016S001083    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",45701,"Quinze","0013 0013","Dijous","2016",2,"Febrer","11","07","No respectar distàncies","Matí","431884.17 ","4586893.11","2.18364679553826","41.4288703363353"
"2016S003521    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",111704,"Escòcia","0103 0103","Diumenge","2016",5,"Maig","8","03","Altres","Nit","431834.72 ","4586988.19","2.18304429161847","41.4297224905272"
"2016S007248    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",111704,"Escòcia","0043 0043","Divendres","2016",9,"Setembre","23","07","Canvi de carril sense precaució","Matí","431878.08 ","4587203.45","2.18353891081065","41.4316649452781"
"2016S007995    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",190700,"Malgrat","0035 0035","Dijous","2016",10,"Octubre","20","21","Desobeir altres senyals","Tarda","431574.84 ","4587181.36","2.17991235740966","41.4314401877814"
"2016S006402    ",8,"Nou Barris",45,"Porta",322404,"Selva","0064 0064","Dissabte","2016",8,"Agost","20","02","Altres","Nit","431296.11 ","4587695.06","2.17651819341565","41.4360430804155"
"2016S007816    ",8,"Nou Barris",47,"Can Peguera",38003,"Bellcaire","0073 0073","Divendres","2016",10,"Octubre","14","12","Manca precaució efectuar marxa enrera","Matí","431415.39 ","4587875.93","2.17792523727796","41.4376823156352"
"2016S006668    ",8,"Nou Barris",47,"Can Peguera",363004,"Vila-seca","0035 0035","Divendres","2016",9,"Setembre","2","00","Manca d'atenció a la conducció","Nit","431476.36 ","4587899.34","2.17865231192708","41.4378983708652"
"2016S006651    ",8,"Nou Barris",45,"Porta",121300,"Felanitx","0007 0007","Dijous","2016",9,"Setembre","1","10","Altres","Matí","430921.31 ","4587624.55","2.17204050959249","41.4353758410603"
"2016S009496    ",9,"Sant Andreu",61,"la Sagrera",216509,"Monlau","0025 0025","Dissabte","2016",12,"Desembre","10","20","No cedir la dreta","Tarda","431735.72 ","4588048.32","2.18173968019297","41.4392622909836"
"2016S001497    ",9,"Sant Andreu",61,"la Sagrera",216509,"Monlau","0032 0032","Dijous","2016",2,"Febrer","25","16","No respectat pas de vianants","Tarda","431861.6  ","4588085.93","2.18324209335630","41.4396117326026"
"2016S004233    ",9,"Sant Andreu",61,"la Sagrera",216509,"Monlau","0032 0032","Dimecres","2016",6,"Juny","1","18","No respectat pas de vianants","Tarda","431926.49 ","4588061.52","2.18402151915492","41.4393973894896"
"2016S006769    ",9,"Sant Andreu",61,"la Sagrera",97206,"Vallès i Ribot","0038 0038","Dimarts","2016",9,"Setembre","6","13","No respectar distàncies","Matí","431547.47 ","4587881.94","2.17950538224853","41.4377477259978"
"2016S003094    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",318702,"Santa Úrsula","0002 0002","Dissabte","2016",4,"Abril","23","18","No respectar distàncies","Tarda","431344.14 ","4586701.54","2.17720598549107","41.4270989145865"
